sample,income,bracket_tier,correct_tax,llm_direct,direct_correct,llm_tool,tool_correct,tool_calls,direct_raw,tool_raw
1,499145.93,brackets 1-6,145075.83,141059.85,False,,False,15,141059.85,max_turns_exceeded
2,233784.78,brackets 1-5,52497.63,50306.33,False,52497.63,True,13,50306.33,52497.63
3,197622.72,brackets 1-5,40925.77,44234.45,False,40925.77,True,13,"44,234.45",40925.77
4,431145.59,brackets 1-6,121275.71,120630.67,False,121275.71,True,11,120630.67,121275.71
5,72605.96,brackets 1-3,11026.31,11523.31,False,11026.31,True,7,11523.31,11026.31
6,879396.64,brackets 1-7,283564.51,274813.34,False,,False,15,274813.34,max_turns_exceeded
7,392131.21,brackets 1-6,107620.67,108308.71,False,,False,15,108308.71,max_turns_exceeded
8,209185.73,brackets 1-5,44625.93,44227.38,False,44625.93,True,13,44227.38,44625.93
9,243057.63,brackets 1-5,55464.94,52832.9,False,55464.94,True,13,"52,832.90",55464.94
10,184056.08,brackets 1-4,37215.96,34584.34,False,37215.96,True,10,34584.34,37215.96
11,424850.97,brackets 1-6,119072.59,119274.35,False,,False,15,119274.35,max_turns_exceeded
12,84663.2,brackets 1-3,13678.9,14674.96,False,13678.9,True,7,14674.96,13678.90
13,58412.58,brackets 1-3,7903.77,8743.77,False,7903.77,True,7,8743.77,7903.77
14,616766.99,brackets 1-7,186391.54,184766.0,False,,False,15,184766.00,max_turns_exceeded
15,176824.84,brackets 1-4,35480.46,35074.47,False,35480.46,True,10,35074.47,35480.46
16,135632.91,brackets 1-4,25594.4,26126.03,False,25594.4,True,11,26126.03,25594.40
17,399154.95,brackets 1-6,110078.98,103854.19,False,,False,15,103854.19,max_turns_exceeded
18,197165.71,brackets 1-5,40779.53,42396.37,False,40779.53,True,13,"42,396.37",40779.53
19,224628.01,brackets 1-5,49567.46,49465.73,False,49566.56,True,14,49465.73,49566.56
20,738645.13,brackets 1-7,231486.45,235315.87,False,,False,15,"235,315.87",max_turns_exceeded
21,211828.18,brackets 1-5,45471.52,44018.76,False,45471.52,True,13,44018.76,45471.52
22,502084.15,brackets 1-6,146104.2,143838.93,False,,False,15,143838.93,max_turns_exceeded
23,129033.86,brackets 1-4,24010.63,23718.14,False,24010.63,True,10,23718.14,24010.63
24,637263.81,brackets 1-7,193975.36,204628.91,False,,False,15,204628.91,max_turns_exceeded
25,102879.78,brackets 1-3,17733.65,18853.55,False,17733.65,True,10,18853.55,17733.65
26,593868.72,brackets 1-6,178228.8,181628.84,False,,False,15,181628.84,max_turns_exceeded
27,206746.33,brackets 1-5,43845.33,44962.43,False,43845.33,True,14,44962.43,43845.33
28,230201.81,brackets 1-5,51351.08,52931.43,False,51351.08,True,13,52931.43,51351.08
29,211692.56,brackets 1-5,45428.12,42282.06,False,43848.71,False,10,42282.06,43848.71
30,571037.75,brackets 1-6,170237.96,166567.75,False,,False,15,166567.75,max_turns_exceeded
