sample,income,bracket_tier,correct_tax,llm_direct,direct_correct,llm_tool,tool_correct,tool_calls,direct_raw,tool_raw
1,230139.22,brackets 1-5,51331.05,49020.42,False,51331.05,True,13,49020.42,51331.05
2,390845.38,brackets 1-6,107170.63,109188.83,False,107170.63,True,17,109188.83,107170.63
3,680204.85,brackets 1-7,209863.54,223893.79,False,209863.54,True,19,223893.79,209863.54
4,196160.21,brackets 1-5,40457.77,40508.07,False,40120.95,False,10,40508.07,40120.95
5,732188.8,brackets 1-7,229097.61,235728.84,False,229097.61,True,19,235728.84,229097.61
6,553780.01,brackets 1-6,164197.75,172066.4,False,164197.75,True,16,172066.40,164197.75
7,215650.42,brackets 1-5,46694.63,46922.09,False,46694.63,True,14,46922.09,46694.63
8,237414.58,brackets 1-5,53659.17,52578.5,False,53659.17,True,13,52578.50,53659.17
9,146059.62,brackets 1-4,28096.81,26879.31,False,28096.81,True,7,26879.31,28096.81
10,88772.51,brackets 1-3,14582.95,16434.51,False,14582.95,True,7,16434.51,14582.95
11,376432.69,brackets 1-6,102126.19,103486.48,False,102126.19,True,16,103486.48,102126.19
12,552075.83,brackets 1-6,163601.29,165188.79,False,163601.29,True,16,165188.79,163601.29
13,256444.86,brackets 1-6,60130.45,67748.37,False,60130.45,True,17,67748.37,60130.45
14,395707.15,brackets 1-6,108872.25,107438.64,False,108872.25,True,16,107438.64,108872.25
15,224837.11,brackets 1-5,49634.38,49951.79,False,49634.38,True,13,49951.79,49634.38
16,220630.71,brackets 1-5,48288.33,47307.37,False,48288.33,True,13,47307.37,48288.33
17,442412.23,brackets 1-6,125219.03,129166.23,False,125219.03,True,16,129166.23,125219.03
18,130336.77,brackets 1-4,24323.32,24431.77,False,24323.32,True,10,24431.77,24323.32
19,104754.38,brackets 1-3,18183.55,18932.45,False,18182.97,True,7,18932.45,18182.97
20,378757.27,brackets 1-6,102939.79,105977.86,False,102939.79,True,16,105977.86,102939.79
21,105368.78,brackets 1-3,18331.01,19043.49,False,18331.01,True,10,19043.49,18331.01
22,192297.55,brackets 1-5,39221.72,42594.47,False,39193.91,False,10,42594.47,39193.91
23,194909.56,brackets 1-5,40057.56,38367.78,False,39820.79,False,10,38367.78,39820.79
24,42124.62,brackets 1-3,4822.95,4809.96,False,4822.95,True,4,4809.96,4822.95
25,229813.27,brackets 1-5,51226.75,49807.18,False,51226.75,True,13,49807.18,51226.75
26,190872.36,brackets 1-4,38851.87,38154.72,False,38851.87,True,10,38154.72,38851.87
27,668190.67,brackets 1-7,205418.3,203487.45,False,205418.3,True,19,203487.45,205418.30
28,203674.37,brackets 1-5,42862.3,44148.37,False,41924.35,False,10,44148.37,41924.35
29,841405.14,brackets 1-7,269507.65,267423.9,False,269507.65,True,19,267423.90,269507.65
30,141410.04,brackets 1-4,26980.91,26738.41,False,26980.91,True,10,26738.41,26980.91
